Ensembl.id,Gene.name,G19.Scr.1,G19.Scr.2,G19.Scr.3,G19.Scr.4,G19.shMETTL7B.1,G19.shMETTL7B.2,G19.shMETTL7B.3,G19.shMETTL7B.4
ENSG00000169760,NLGN1,5.327905159,5.202688311,5.312550585,5.322080436,5.88896497,6.086027788,6.089817441,6.114663037
ENSG00000169762,TAPT1,3.944562969,3.464672407,3.827144187,3.717350058,4.092128277,4.210895442,4.19827305,4.0190209
ENSG00000169764,UGP2,5.936878896,6.001876334,5.975226645,6.06768484,5.807629776,5.789653557,5.758153947,5.823681404
ENSG00000169783,LINGO1,5.899124817,5.761856638,5.948026151,6.088141903,6.584753771,6.646041272,6.621613316,6.590459318
ENSG00000169813,HNRNPF,8.15086188,8.106545271,8.134522085,8.167467609,8.19503894,8.221160433,8.210196297,8.154988087
ENSG00000169814,BTD,2.986963761,3.226308749,2.616550829,2.778984596,3.045061345,3.158628396,2.92024678,2.858580557
ENSG00000169826,CSGALNACT2,5.235031648,5.207173854,5.372821625,5.332928133,5.420461357,5.433112652,5.351895086,5.491555504
ENSG00000169840,GSX1,0.783925419,0.850345103,0.926499158,0.369358657,2.406027458,2.411021243,2.44679471,2.613425206
ENSG00000169855,ROBO1,6.884317049,6.77044247,5.734722468,5.701656258,6.020708161,6.16545931,6.108401554,6.179570065
ENSG00000169857,AVEN,2.824913485,2.678282546,2.607966568,2.375307304,2.844574313,2.486889625,2.66842701,2.785353444
ENSG00000169860,P2RY1,1.975639066,1.703805731,-0.165636165,-0.632099024,-1.095044936,-0.713266088,-0.817190711,-0.198084743
ENSG00000169862,CTNND2,7.227015649,7.227847862,7.073928723,7.071787318,7.670390088,7.75084695,7.710703517,7.766042084
ENSG00000169871,TRIM56,4.327676023,4.633040304,4.862615144,4.870601896,4.717791118,4.616152056,4.708733798,4.595239063
ENSG00000169895,SYAP1,6.035713955,6.035713955,6.028672595,5.963713178,5.809094605,5.788920417,5.685273848,5.702358437
ENSG00000169902,TPST1,5.519192332,5.540844015,5.860667193,5.874267697,5.314575989,5.348429553,5.370787397,5.353926696
ENSG00000169905,TOR1AIP2,5.472499281,5.452162077,5.543305263,5.495340626,5.487726088,5.366610805,5.305652376,5.527878626
